SE(0 ,5): dog
E (0 ,9): lea
SW(0 ,9): lug
E (0 ,10): eat
S (0 ,12): tee
SE(0 ,14): yaw
E (0 ,27): fob
SE(0 ,29): bah
SW(0 ,38): ala
S (0 ,52): envy
E (0 ,54): lie
W (0 ,58): pee
SW(0 ,68): sic
SW(0 ,78): full
S (0 ,82): now
W (0 ,84): sin
E (0 ,84): sob
E (0 ,88): apt
W (0 ,92): hot
W (0 ,101): foe
E (0 ,106): egg
SW(0 ,110): oat
W (0 ,124): bug
SE(0 ,124): bun
E (0 ,130): ewe
W (0 ,132): ewe
W (0 ,133): hew
SE(0 ,134): vee
S (0 ,135): reap
E (0 ,135): rub
S (0 ,144): oar
W (0 ,150): and
S (0 ,158): hoy
E (0 ,158): harm
E (0 ,159): arm
S (0 ,169): alb
SW(0 ,169): age
E (0 ,172): jot
SW(0 ,173): odd
SE(0 ,174): tub
S (0 ,175): fum
W (0 ,179): urn
S (0 ,181): lax
SW(0 ,185): cot
E (0 ,187): ale
E (0 ,188): leg
W (0 ,190): gel
SW(0 ,191): tag
S (0 ,192): few
S (0 ,193): mar
E (0 ,208): leg
SW(0 ,208): law
W (0 ,210): gel
SW(0 ,211): nee
SE(0 ,223): bob
SW(0 ,225): mob
SW(0 ,231): coo
SW(0 ,232): hit
E (0 ,234): pug
SW(0 ,234): pop
S (0 ,238): may
E (0 ,240): pip
W (0 ,242): pip
S (0 ,243): ate
W (0 ,244): map
SW(0 ,245): age
SW(1 ,4): qua
W (1 ,7): too
E (1 ,7): tub
W (1 ,9): but
SW(1 ,10): did
SE(1 ,16): new
SE(1 ,20): old
W (1 ,31): oak
SW(1 ,35): pout
SE(1 ,35): pad
S (1 ,37): led
SW(1 ,37): law
S (1 ,39): raj
SE(1 ,43): pro
S (1 ,44): ere
SE(1 ,44): eel
E (1 ,45): doe
W (1 ,46): ode
W (1 ,63): sec
SE(1 ,63): sax
E (1 ,109): ago
E (1 ,117): few
SE(1 ,121): dye
S (1 ,127): cox
S (1 ,134): ash
SW(1 ,134): arc
SE(1 ,137): wan
SW(1 ,138): vis
SW(1 ,145): irk
E (1 ,150): rho
SW(1 ,161): bam
SW(1 ,169): loy
W (1 ,176): cub
SE(1 ,176): cam
SE(1 ,183): vie
E (1 ,190): ace
S (1 ,193): arm
SW(1 ,195): gem
SE(1 ,196): yap
W (1 ,198): icy
S (1 ,199): oar
W (1 ,206): sea
W (1 ,208): lase
SE(1 ,208): led
SE(1 ,220): ram
S (1 ,221): fad
SW(1 ,221): fix
S (1 ,228): ova
SW(1 ,232): bed
S (1 ,238): aye
W (1 ,238): ani
SW(1 ,244): gel
N (2 ,2): sac
SW(2 ,2): sou
NE(2 ,5): boa
SW(2 ,5): bag
NW(2 ,7): god
NE(2 ,10): fat
NW(2 ,13): yea
NW(2 ,16): way
N (2 ,25): fix
S (2 ,28): hand
W (2 ,31): hue
SW(2 ,34): out
W (2 ,35): good
W (2 ,36): ago
NE(2 ,36): ala
NW(2 ,36): ape
E (2 ,38): nay
E (2 ,43): prep
SE(2 ,43): pen
N (2 ,44): red
E (2 ,44): rep
W (2 ,46): per
E (2 ,46): pub
S (2 ,59): jay
NE(2 ,72): cup
S (2 ,74): boa
SE(2 ,78): fox
N (2 ,82): won
SE(2 ,83): lea
S (2 ,88): joy
SW(2 ,92): din
SE(2 ,92): din
S (2 ,94): ton
W (2 ,94): ted
SW(2 ,95): nob
E (2 ,96): pup
W (2 ,98): pup
SW(2 ,101): try
N (2 ,108): tag
E (2 ,108): tea
E (2 ,108): teat
NE(2 ,108): tao
E (2 ,109): eat
N (2 ,110): ago
SE(2 ,111): til
E (2 ,112): cap
NW(2 ,112): coo
W (2 ,113): act
N (2 ,114): pax
W (2 ,114): pact
SW(2 ,114): par
W (2 ,116): hap
NW(2 ,119): bed
NE(2 ,121): sou
S (2 ,135): apt
E (2 ,142): war
