S (0 ,4): ape
E (0 ,12): rim
E (0 ,16): vie
S (0 ,22): aim
SE(0 ,23): bon
SE(0 ,27): lay
S (0 ,31): old
W (0 ,32): mow
E (0 ,41): bad
W (0 ,43): dab
SW(0 ,43): din
W (0 ,45): gad
SE(0 ,45): get
S (0 ,46): ret
SW(0 ,47): dew
S (1 ,1): yen
S (1 ,4): peg
SE(1 ,4): pep
S (1 ,5): sen
W (1 ,5): spa
SW(1 ,7): bon
SE(1 ,9): our
SE(1 ,13): dey
SE(1 ,26): fan
SE(1 ,26): fang
E (1 ,28): ask
E (1 ,31): lot
E (1 ,33): tag
SE(1 ,33): tow
E (1 ,39): bug
E (2 ,3): pee
SW(2 ,5): ego
W (2 ,7): foe
S (2 ,20): vee
NE(2 ,21): sib
SE(2 ,23): root
NW(2 ,25): nob
E (2 ,26): gas
SW(2 ,27): amok
W (2 ,28): sag
E (2 ,31): dim
NE(2 ,31): doe
SW(2 ,31): dug
W (2 ,33): mid
NW(2 ,33): moo
W (2 ,40): wife
NE(2 ,45): wed
SE(2 ,45): wop
N (2 ,47): tid
NW(3 ,3): boy
NE(3 ,5): nob
NW(3 ,6): pep
NE(3 ,9): hum
SW(3 ,9): hob
N (3 ,11): rim
SE(3 ,17): our
S (3 ,18): due
E (3 ,18): due
SE(3 ,22): yak
SW(3 ,24): oat
W (3 ,25): you
SW(3 ,28): not
S (3 ,32): god
S (3 ,40): pew
E (3 ,40): pow
SE(3 ,41): orb
W (3 ,42): wop
SW(3 ,42): wow
E (3 ,45): soy
SE(3 ,45): sit
E (4 ,2): got
W (4 ,4): tog
SE(4 ,5): pax
E (4 ,9): awl
S (4 ,10): woo
NE(4 ,10): wry
S (4 ,11): leg
NE(4 ,12): bye
SE(4 ,12): bag
NE(4 ,16): joy
SW(4 ,16): jig
NW(4 ,17): via
E (4 ,19): hey
S (4 ,23): ami
N (4 ,24): toe
NW(4 ,24): tum
S (4 ,28): caw
N (4 ,29): gay
SW(4 ,29): gam
E (4 ,38): woe
W (4 ,42): roe
NW(4 ,42): row
SE(4 ,43): jaw
E (4 ,45): sip
SW(4 ,45): say
NW(4 ,47): pow
N (5 ,6): alp
SW(5 ,6): ape
W (5 ,9): fib
E (5 ,9): foe
E (5 ,11): era
E (5 ,12): raj
SE(5 ,12): rag
N (5 ,13): any
W (5 ,13): are
W (5 ,14): jar
E (5 ,15): ice
N (5 ,20): fee
W (5 ,20): free
NE(5 ,22): tao
SE(5 ,22): tin
NW(5 ,23): min
SE(5 ,25): ova
NE(5 ,26): ton
NE(5 ,26): tony
NW(5 ,26): too
N (5 ,31): rev
N (5 ,32): dog
E (5 ,32): dye
E (5 ,33): yea
NE(5 ,40): wow
E (5 ,43): bad
NW(5 ,43): brow
SE(5 ,43): bin
N (5 ,44): alp
W (5 ,45): dab
SE(5 ,45): den
S (5 ,46): key
SW(5 ,47): ten
N (6 ,11): gel
NW(6 ,14): gab
SE(6 ,16): oak
SW(6 ,18): haze
S (6 ,22): pin
N (6 ,25): moo
NW(6 ,37): min
NW(6 ,37): mind
SE(6 ,38): jug
NW(6 ,42): vee
S (6 ,49): rod
SE(7 ,2): put
N (7 ,3): foe
E (7 ,3): fee
W (7 ,6): vee
N (7 ,10): zoo
NW(7 ,14): gar
SW(7 ,20): bop
N (7 ,21): jot
NW(7 ,24): nit
NE(7 ,27): awl
SW(7 ,28): fad
SW(7 ,28): fade
E (7 ,35): crag
NE(7 ,35): cup
SW(7 ,35): cow
E (7 ,36): rag
N (7 ,37): amp
W (7 ,37): arc
W (7 ,38): gar
E (7 ,38): guy
N (7 ,41): hue
SE(7 ,41): huh
W (7 ,42): thy
S (7 ,44): buy
NE(7 ,45): net
NW(7 ,45): nib
NE(8 ,7): fir
E (8 ,8): phi
NW(8 ,16): zag
N (8 ,22): nip
W (8 ,32): yet
W (8 ,33): lye
S (8 ,34): ohm
E (8 ,34): oak
NE(8 ,35): arm
W (8 ,38): yak
N (8 ,39): bum
SW(8 ,39): beg
SE(8 ,47): tar
NW(8 ,48): one
W (8 ,49): dot
SW(9 ,5): age
W (9 ,6): sat
NW(9 ,6): sue
NW(9 ,10): chi
S (9 ,12): lee
NW(9 ,13): bel
S (9 ,15): eat
S (9 ,16): felt
SW(9 ,16): fan
SE(9 ,17): fry
S (9 ,19): may
S (9 ,25): yea
NE(9 ,25): yea
N (9 ,31): bet
S (9 ,33): why
N (9 ,34): hoe
NE(9 ,34): harm
NW(9 ,38): ear
SE(9 ,40): mid
NW(9 ,43): huh
N (9 ,45): yen
SW(9 ,48): ala
SW(10 ,4): get
NW(10 ,6): bay
SW(10 ,6): bug
W (10 ,13): den
SW(10 ,15): ana
SE(10 ,15): alb
W (10 ,19): ark
W (10 ,26): hex
S (10 ,27): cab
NE(10 ,28): cot
E (10 ,30): etc
E (10 ,30): etch
NW(10 ,33): hue
E (10 ,40): vii
E (10 ,44): wop
NE(10 ,45): out
SE(10 ,45): oat
W (10 ,46): pow
NE(10 ,47): lad
SW(10 ,47): lac
NW(10 ,49): rat
SW(10 ,49): rut
SE(11 ,0): fig
N (11 ,7): sun
SW(11 ,9): eye
W (11 ,11): hue
N (11 ,12): eel
S (11 ,12): end
NW(11 ,17): wee
N (11 ,19): yam
NW(11 ,20): zap
NE(11 ,22): tum
SW(11 ,22): tug
N (11 ,23): buy
S (11 ,31): par
NW(11 ,40): gee
NW(11 ,42): dim
NE(11 ,44): sou
NE(11 ,46): ala
NW(12 ,6): rug
NE(12 ,9): gun
SW(12 ,10): flex
SE(12 ,10): for
NE(12 ,11): bed
NW(12 ,11): buy
N (12 ,12): nee
S (12 ,13): auk
NE(12 ,13): ana
S (12 ,18): con
S (12 ,23): fly
SW(12 ,24): ell
S (12 ,30): bib
N (12 ,31): apt
S (12 ,32): cox
W (12 ,32): cab
E (12 ,32): cod
NW(12 ,33): out
SE(12 ,43): bub
NW(12 ,47): tao
NE(13 ,0): tie
S (13 ,1): yon
S (13 ,2): gob
N (13 ,6): try
NE(13 ,7): eye
S (13 ,8): sen
W (13 ,8): set
SE(13 ,8): soy
SE(13 ,8): soya
S (13 ,9): loy
W (13 ,10): else
W (13 ,12): doe
S (13 ,16): con
SW(13 ,16): col
